geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,label
BARD1,19.0,3.0,1.0,0.0,111.0,12.0,0.0,0.0,2.0,0.0,20.0,3.0,125.0,134.0,2334.0,0.2,0.08,0.0,0.66,0.0,1.0,0.04,0.02,0.945038376,1.166613055,0.36066,0.0,3.0,3.636363636,0.476190476,1.0,0.668449198,0.937697112,18.24596904,948.0,0.01111842,0.001704276,256.0,0.31109157,1.3714697,4.1396197,0.65780235,-6.7334,1.9308405,0.03329995,3.045352443,4.2,1.6,2.0,1.0,1.8,1.8,3.4,5.0,14.8,7.4,4.8,1.6,0.8,3.2,0.8,1.6,5.0,6.0,1.6,2.6,3.6,1.2,0.0,0.8,1.2,2.4,2.0,5.6,4.2,3.4,1.0,15.8,16.60603002,34.86341111,4.543015791627412,9.054554461452836,1.0
FANCL,2.0,0.0,0.0,0.0,59.0,2.0,0.0,0.0,10.0,0.0,3.0,0.0,70.0,69.0,1143.0,0.294117647,0.0,0.0,0.705882353,0.0,1.0,0.0,0.0,1.0,0.582512637,0.372411765,0.0,2.0,2.0,1.0,1.0,0.285062714,0.642829554,17.59455424,617.0,0.009232438,2.29e-05,31.0,2.4822222,0.968351,4.99,1.1200227,-2.8832559,0.23028909,0.011962551,0.393779164,2.4,0.4,0.6,1.6,1.4,0.4,1.6,1.4,6.0,1.6,4.0,2.0,0.4,0.0,1.2,1.8,1.2,2.6,2.2,0.6,6.6,2.0,0.0,0.8,1.4,1.0,2.0,0.4,3.0,1.2,1.6,3.6,27.4,12.5,5.956749953478425,10.933309064440476,1.0
IDH1,4.0,3.0,0.0,0.0,544.0,4.0,0.0,0.0,2.0,0.0,4.0,3.0,550.0,554.0,1245.0,0.026819923,0.011494253,0.0,0.957854406,0.885057471,0.089227645,0.0,0.0,0.130545313,0.416682571,0.815333333,0.003831418,31.25,31.75,0.881057269,0.0,0.0,2.4e-09,17.99018764,539.0,0.0167467,0.000129593,50.0,1.3679118,0.34848286,2.8196266,0.23043985,-3.530197,0.43699634,0.01904092,0.997614743,1.5,1.0,1.5,3.0,1.25,0.5,205.0,0.0,4.75,0.75,2.0,1.0,1.5,0.5,1.75,0.5,0.0,1.5,1.5,1.0,44.5,1.0,0.0,1.0,0.0,0.0,1.25,0.5,3.25,1.0,0.25,5.75,26.725,8.2025,8.17030396065059,16.264523056766375,1.0
MSH2,20.0,6.0,2.0,0.0,112.0,33.0,1.0,0.0,8.0,0.0,23.0,6.0,153.0,147.0,2805.0,0.266666667,0.111111111,0.022222222,0.511111111,0.0,1.0,0.066666667,0.0,0.869258589,0.672410916,0.621488889,0.022222222,1.769230769,2.538461538,0.058750955,1.0,0.92506938,0.997119832,19.59696516,406.0,0.02839946,0.000185035,113.0,0.52512744,1.0762489,3.4072034,0.57393597,-5.2882906,1.5932804,0.008932169,0.219559163,6.666666667,0.0,4.0,4.0,5.333333333,3.666666667,2.0,1.333333333,22.0,4.0,8.666666667,1.333333333,1.333333333,2.666666667,0.666666667,0.0,4.0,4.0,3.333333333,3.333333333,8.0,2.0,0.0,0.666666667,2.0,0.666666667,4.666666667,2.0,9.333333333,2.666666667,1.333333333,20.33333333,16.60603002,34.86341111,6.762345271272706,13.015782392294035,1.0
MSH6,12.0,8.0,7.0,0.0,193.0,47.0,0.0,0.0,2.0,0.0,19.0,8.0,242.0,196.0,4083.0,0.219178082,0.02739726,0.0,0.698630137,0.0,1.0,0.02739726,0.02739726,0.96901676,0.82573989,0.5,0.0,3.0,3.352941176,0.945179584,1.0,0.056430224,0.218653032,18.89718517,587.0,0.03151994,6.26e-05,64.0,1.8955663,1.3988401,4.411139,1.5081012,-3.7293166,0.7016754,0.008606832,0.203951279,3.6,3.4,2.8,1.2,3.8,2.4,8.2,3.4,23.0,4.0,4.6,1.6,2.4,3.0,1.0,2.0,1.2,4.2,4.8,3.0,10.2,8.0,1.0,1.0,0.8,2.8,1.6,5.8,6.2,1.6,1.6,14.8,16.60603002,34.86341111,7.317498944838629,14.09014696662922,1.0
SF3B1,2.0,1.0,0.0,0.0,278.0,14.0,0.0,0.0,4.0,0.0,2.0,1.0,296.0,266.0,3915.0,0.157894737,0.013157895,0.0,0.828947368,0.368421053,0.774059585,0.0,0.0,0.808808649,0.290216238,0.663868421,0.0,5.04,5.12,1.0,0.0,0.0,2.4e-09,19.49037203,276.0,0.02981247,0.000372608,161.0,0.5696095,0.52604573,2.907712,0.3868442,-3.978,0.4853883,0.006022724,0.099802784,9.6,5.0,10.2,6.4,4.4,5.4,18.0,5.0,25.4,12.4,5.6,5.4,4.2,5.0,3.4,8.2,6.0,6.6,2.4,17.2,29.0,6.8,7.4,0.8,14.8,2.0,9.2,5.2,18.2,4.2,9.6,13.6,26.41428571,7.631428571,8.680923250405737,15.147260085399838,1.0
BRCA1,18.0,7.0,2.0,0.0,232.0,37.0,0.0,0.0,8.0,1.0,20.0,8.0,277.0,270.0,5655.0,0.183206107,0.099236641,0.022900763,0.58778626,0.0,1.0,0.099236641,0.007633588,0.836243777,1.123127617,0.545870229,0.0,3.08,4.28,0.00735,1.0,0.543478261,0.874872593,20.48367901,201.0,0.02652095,0.011628643,560.0,-0.6558086,2.0760827,4.809346,0.9732972,-9.0479076,2.612885,0.088999768,21.79219206,4.0,4.8,4.2,8.2,7.6,2.4,5.4,5.6,38.4,7.2,15.4,0.0,0.6,1.8,0.6,3.0,5.2,8.2,9.2,4.2,7.6,5.8,3.0,3.6,4.4,0.8,5.6,6.0,10.4,2.6,2.4,29.2,16.025,55.0854,5.947599788690835,11.538092635338474,1.0
BRIP1,6.0,5.0,3.0,0.0,187.0,22.0,0.0,0.0,10.0,0.0,9.0,5.0,219.0,198.0,3750.0,0.202531646,0.025316456,0.012658228,0.734177215,0.0,1.0,0.012658228,0.012658228,0.963855326,0.901870623,0.354734177,0.0,3.411764706,3.705882353,0.947867299,1.0,0.331455088,0.697468664,18.31609278,412.0,-0.0093023,3.64e-05,17.0,4.6944123,4.510207,9.134723,5.518454,-4.7720835,1.0585469,0.015098495,0.627353043,7.4,2.2,2.8,4.0,4.4,1.8,5.6,4.4,21.4,4.6,7.6,3.8,1.8,1.2,1.0,2.4,2.4,5.4,5.8,3.8,11.0,6.8,1.2,1.2,5.6,0.8,3.4,1.8,10.6,3.8,1.4,21.0,8.627,0.0,4.704903816010044,9.736688287768144,1.0
CDK12,27.0,11.0,3.0,1.0,240.0,26.0,0.0,0.0,5.0,0.0,31.0,14.0,268.0,276.0,4473.0,0.088235294,0.078431373,0.0,0.656862745,0.0,1.0,0.147058824,0.029411765,0.837204134,0.579240748,0.578813725,0.0,6.7,9.3,0.06345983,1.0,0.022261799,0.106965341,20.42632926,239.0,0.02758249,0.000148843,25.0,5.765041,13.50634,12.703864,19.128525,-5.994115,1.8126491,0.054151754,17.69473854,2.6,1.2,3.8,1.6,1.6,4.2,3.8,2.4,16.2,2.4,8.8,0.6,1.8,0.8,0.4,1.8,3.4,7.6,6.6,3.8,10.6,5.0,1.6,1.2,1.8,0.4,3.0,2.8,8.8,1.8,0.8,11.2,21.215,76.50845,7.192711020722757,14.518676059644358,1.0
ERBB2,6.0,1.0,1.0,5.0,297.0,5.0,0.0,0.0,5.0,0.0,7.0,6.0,307.0,276.0,3768.0,0.148148148,0.014814815,0.007407407,0.77037037,0.296296296,0.844664784,0.022222222,0.037037037,0.852032111,0.612765014,0.520533333,0.0,4.952380952,5.476190476,0.992063492,0.0,0.0,2.4e-09,20.29332795,226.0,0.03763767,0.000661984,122.0,11.68115,25.435725,21.417336,36.618385,-5.3144738,1.42718125,0.015722281,0.680416264,0.6,4.0,0.6,1.2,13.2,7.6,15.6,1.8,30.6,5.8,12.8,1.4,1.2,0.6,8.4,1.8,3.0,12.8,13.0,25.2,13.8,10.6,0.0,2.2,1.6,1.2,4.2,7.4,38.0,1.2,0.0,18.2,28.01339286,6.931577381,8.873114835041603,20.010131893405784,1.0
