Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum
TSEN34,1.0,13.0,4.0,0.0,2.0,1.0,0.0,1.0,5.0,53.0,4.0,0.0,0.0,18.0,0.0,0.0,3.0,3.0,0.0,96.0,0.0,84
TSEN54,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,65
TSFM,0.0,5.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,38.0,1.0,0.0,0.0,15.0,4.0,0.0,4.0,0.0,0.0,70.0,0.0,66
TSG101,0.0,9.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,56.0,4.0,0.0,0.0,27.0,2.0,0.0,5.0,2.0,0.0,96.0,0.0,83
TSGA10,0.0,11.0,0.0,9.0,5.0,1.0,0.0,0.0,4.0,142.0,34.0,0.0,0.0,23.0,9.0,0.0,5.0,1.0,0.0,232.0,0.0,190
TSGA10IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,3.0,0.0,0.0,110.0,0.0,98
TSGA13,0.0,23.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,54.0,3.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,117.0,0.0,102
TSHB,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,41.0,3.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,77.0,0.0,68
TSHR,0.0,9.0,0.0,15.0,5.0,3.0,1.0,0.0,28.0,166.0,11.0,0.0,0.0,75.0,5.0,0.0,11.0,5.0,0.0,302.0,0.0,236
TSHZ1,0.0,60.0,0.0,4.0,5.0,4.0,1.0,0.0,0.0,180.0,4.0,0.0,0.0,119.0,0.0,0.0,16.0,6.0,0.0,355.0,0.0,279
TSHZ2,0.0,2.0,1.0,12.0,13.0,5.0,4.0,0.0,0.0,362.0,12.0,0.0,0.0,191.0,0.0,0.0,17.0,7.0,0.0,578.0,0.0,431
TSHZ3,0.0,89.0,0.0,0.0,17.0,7.0,2.0,0.0,0.0,427.0,24.0,0.0,0.0,223.0,1.0,0.0,25.0,11.0,0.0,754.0,0.0,554
TSIX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,12
TSKS,0.0,2.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,131.0,9.0,0.0,0.0,69.0,3.0,1.0,7.0,3.0,0.0,216.0,0.0,188
TSKU,1.0,37.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,60.0,2.0,0.0,0.0,32.0,1.0,0.0,6.0,2.0,0.0,128.0,0.0,110
TSLP,21.0,4.0,17.0,31.0,0.0,1.0,0.0,0.0,20.0,32.0,4.0,0.0,0.0,18.0,1.0,0.0,1.0,2.0,0.0,146.0,0.0,123
TSN,0.0,12.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,13.0,2.0,0.0,2.0,0.0,0.0,73.0,0.0,64
TSNARE1,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,15.0,103.0,4.0,0.0,0.0,59.0,3.0,1.0,3.0,0.0,0.0,186.0,0.0,161
TSNAX,0.0,9.0,1.0,10.0,2.0,0.0,1.0,0.0,1.0,31.0,5.0,0.0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,72
TSNAXIP1,0.0,4.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,107.0,13.0,1.0,0.0,34.0,1.0,0.0,4.0,0.0,0.0,165.0,0.0,138
TSPAN1,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,50
TSPAN10,0.0,0.0,0.0,7.0,10.0,4.0,0.0,1.0,0.0,32.0,1.0,0.0,0.0,26.0,0.0,0.0,10.0,5.0,0.0,66.0,0.0,70
TSPAN11,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,47.0,3.0,0.0,0.0,19.0,3.0,0.0,3.0,0.0,0.0,77.0,0.0,74
TSPAN12,0.0,26.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,62.0,12.0,0.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,120.0,0.0,97
TSPAN13,0.0,26.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,21.0,2.0,0.0,0.0,21.0,0.0,0.0,6.0,1.0,3.0,69.0,0.0,67
TSPAN14,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,29.0,2.0,0.0,4.0,0.0,0.0,152.0,0.0,125
TSPAN15,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,1.0,0.0,0.0,21.0,1.0,0.0,7.0,1.0,0.0,90.0,0.0,81
TSPAN16,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,18.0,48.0,3.0,0.0,0.0,21.0,4.0,0.0,1.0,0.0,0.0,104.0,0.0,90
TSPAN17,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,25.0,40.0,2.0,1.0,0.0,22.0,1.0,0.0,8.0,0.0,0.0,97.0,0.0,91
TSPAN18,0.0,19.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,41.0,3.0,1.0,0.0,26.0,0.0,0.0,5.0,0.0,0.0,91.0,0.0,88
TSPAN19,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,9.0,3.0,0.0,4.0,0.0,0.0,70.0,0.0,68
TSPAN2,0.0,38.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,3.0,0.0,0.0,23.0,1.0,0.0,2.0,1.0,0.0,108.0,0.0,88
TSPAN3,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,26.0,4.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,52.0,0.0,49
TSPAN31,4.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,29.0,1.0,2.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,60.0,0.0,59
TSPAN32,0.0,5.0,0.0,10.0,3.0,1.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,27.0,2.0,0.0,4.0,1.0,0.0,88.0,0.0,81
TSPAN33,0.0,15.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,26.0,3.0,0.0,0.0,21.0,1.0,0.0,4.0,3.0,0.0,66.0,0.0,65
TSPAN4,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,17.0,2.0,0.0,1.0,0.0,0.0,51.0,0.0,44
TSPAN5,0.0,21.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,62.0,2.0,0.0,0.0,14.0,1.0,1.0,10.0,1.0,0.0,106.0,0.0,96
TSPAN6,0.0,4.0,0.0,13.0,1.0,0.0,0.0,0.0,13.0,39.0,4.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,89.0,0.0,77
TSPAN7,0.0,11.0,0.0,3.0,6.0,0.0,0.0,0.0,8.0,38.0,2.0,0.0,0.0,19.0,2.0,0.0,7.0,0.0,0.0,82.0,0.0,78
TSPAN8,0.0,12.0,0.0,10.0,1.0,3.0,0.0,0.0,4.0,52.0,3.0,0.0,0.0,14.0,6.0,0.0,1.0,4.0,0.0,100.0,0.0,92
TSPAN9,0.0,32.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,28.0,4.0,0.0,0.0,20.0,2.0,0.0,11.0,0.0,0.0,78.0,0.0,77
